term,estimate,std_error_HC1,p_value,ci_lower_95,ci_upper_95
C(state_po)[T.SC],-26.932170782226073,14.577529562711337,0.06467287139685018,-55.50360370870822,1.6392621442560724
C(state_po)[T.SD],-34.57431107574981,14.688529352804688,0.018581072563456112,-63.36329959310643,-5.785322558393194
C(state_po)[T.TN],-31.484664578885234,14.538942422441155,0.030346338733779003,-59.98046810017142,-2.988861057599042
C(state_po)[T.TX],-29.428180550536663,14.578226372138722,0.043524724096118586,-58.00097919840057,-0.8553819026727538
C(state_po)[T.UT],-32.49911793539022,15.031123276246625,0.030608796170344774,-61.9595782040153,-3.038657666765129
C(state_po)[T.VA],-29.540729843899207,14.530379431620185,0.04204926589569609,-58.01975021157635,-1.0617094762220631
C(state_po)[T.VT],-29.17091235843209,14.593113462842124,0.045613703221168214,-57.77288916790925,-0.5689355489549328
C(state_po)[T.WA],-28.603958091010714,14.632302677043997,0.05060076788446391,-57.282744348905965,0.07482816688453653
C(state_po)[T.WI],-30.227267744999235,14.511693668465178,0.03725493068310908,-58.669664689868924,-1.78487080012955
C(state_po)[T.WV],-31.969501946198722,14.597094494684058,0.02851497209707289,-60.579281434707376,-3.3597224576900686
C(state_po)[T.WY],-22.34571091662072,14.67377024813372,0.12780033215633638,-51.10577212037819,6.414350287136745
trump_share,0.9707013665726512,3.396852176846558,0.7750581382669653,-5.687006560853084,7.628409293998387
income_per_capita,0.000349385818525616,0.00010791543696120283,0.0012054438477828962,0.00013787544870575588,0.0005608961883454761
percent_college,-0.3735900206141997,0.07406213742286938,4.552367016275582e-07,-0.5187491425810798,-0.2284308986473196
percent_male,0.32546639318538373,0.16033306121167024,0.04236270262214862,0.01121936767945414,0.6397134186913134
percent_black,0.020277736739496267,0.030225241363507748,0.502292197399103,-0.038962647757009236,0.07951812123600177
percent_hispanic,-0.0562807424282859,0.03458125440372349,0.10363247733395375,-0.12405875559980109,0.011497270743229288
percent_14_under,-1.1021597969012489,1.584187361799157,0.4866006530279914,-4.207109970791121,2.002790376988623
percent_15_24,-1.1652960664245815,1.5852200643870513,0.4622782881300508,-4.272270300193467,1.9416781673443047
percent_25_34,-2.0820222637498995,1.5997582672161008,0.19310086174787489,-5.217490851463661,1.053446323963862
percent_35_44,-0.7797230534332582,1.5809412691012528,0.6218700178636793,-3.878311002544759,2.318864895678243
percent_45_54,-1.0149695761294666,1.587202168532654,0.5225166479545225,-4.125828662637342,2.0958895103784085
percent_55_64,-1.743633446162027,1.6340621412652983,0.2859472028613965,-4.946336391542414,1.4590694992183597
percent_65_74,-0.7971766972296139,1.5751081279856916,0.6127800001511954,-3.8843318998378753,2.2899785053786474
percent_75_over,-1.4637464205947914,1.5956152417822074,0.3589563824450761,-4.591094827671088,1.6636019864815053
percent_rural,-3.284598098223385,1.0243658626374978,0.0013437445644275475,-5.292318295985185,-1.2768779004615851
percent_retail,0.2315430609613306,0.10914431269373445,0.033884830454600806,0.017624138964233205,0.445461982958428
percent_transportation,-0.5288204978667617,0.15015067609744115,0.0004284137295441181,-0.8231104152720854,-0.23453058046143788
percent_hes,0.1862674145038969,0.07084656826669364,0.008559447496491108,0.04741069227291908,0.3251241367348747
