case,phi,agent_Y,reference_Y,abs_diff_Y,agent_w,reference_w,abs_diff_w,agent_R,reference_R,abs_diff_R,agent_wage_bill,reference_wage_bill,abs_diff_wage_bill,agent_capital_income,reference_capital_income,abs_diff_capital_income
left,0.9,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.91,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.92,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.93,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.94,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.95,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.96,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.97,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.98,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,0.99,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
left,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
right,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
right,0.01,1.0126421647957682,1.0126421647957682,0.0,1.0126421647957575,1.0126421647957575,0.0,1.0648294005833612e-15,1.0648294005833612e-15,0.0,1.0126421647957575,1.0126421647957575,0.0,1.0648294005833612e-14,1.0648294005833612e-14,0.0
right,0.02,1.0255749520386583,1.0255749520386583,0.0,1.0255749520382957,1.0255749520382957,0.0,3.630671910792071e-14,3.630671910792071e-14,0.0,1.0255749520382957,1.0255749520382957,0.0,3.630671910792071e-13,3.630671910792071e-13,0.0
right,0.03,1.038808111552082,1.038808111552082,0.0,1.038808111549142,1.038808111549142,0.0,2.9395640972846284e-13,2.9395640972846284e-13,0.0,1.038808111549142,1.038808111549142,0.0,2.939564097284628e-12,2.939564097284628e-12,0.0
right,0.04,1.052351825349104,1.052351825349104,0.0,1.0523518253358877,1.0523518253358877,0.0,1.321614363978367e-12,1.321614363978367e-12,0.0,1.0523518253358877,1.0523518253358877,0.0,1.3216143639783669e-11,1.3216143639783669e-11,0.0
right,0.05,1.0662167315470878,1.0662167315470878,0.0,1.0662167315040276,1.0662167315040276,0.0,4.306034336688591e-12,4.306034336688591e-12,0.0,1.0662167315040276,1.0662167315040276,0.0,4.3060343366885914e-11,4.3060343366885914e-11,0.0
right,0.06,1.0804139498743133,1.0804139498743133,0.0,1.0804139497598395,1.0804139497598395,0.0,1.144740813091436e-11,1.144740813091436e-11,0.0,1.0804139497598395,1.0804139497598395,0.0,1.144740813091436e-10,1.144740813091436e-10,0.0
right,0.07,1.0949551088927911,1.0949551088927911,0.0,1.094955108628263,1.094955108628263,0.0,2.6452807496598218e-11,2.6452807496598218e-11,0.0,1.094955108628263,1.094955108628263,0.0,2.6452807496598217e-10,2.6452807496598217e-10,0.0
right,0.08,1.1098523750726481,1.1098523750726481,0.0,1.1098523745208553,1.1098523745208553,0.0,5.5179278022733366e-11,5.5179278022733366e-11,0.0,1.1098523745208553,1.1098523745208553,0.0,5.517927802273336e-10,5.517927802273336e-10,0.0
right,0.09,1.1251184838657315,1.1251184838657315,0.0,1.1251184828010887,1.1251184828010887,0.0,1.0646426119647257e-10,1.0646426119647257e-10,0.0,1.1251184828010887,1.1251184828010887,0.0,1.0646426119647256e-09,1.0646426119647256e-09,0.0
