case,phi,output,wage,capital_return,wage_bill,capital_income,regime,threshold_phi
equal_endowments,0.061,1.1293794511667619,1.1246333233144672,0.004746127852294696,1.1246333233144672,0.004746127852294696,region_1_labor_scarce,0.5
equal_endowments,0.062,1.131621115144712,1.1266986181020722,0.004922497042639793,1.1266986181020722,0.004922497042639793,region_1_labor_scarce,0.5
equal_endowments,0.063,1.1338665529776468,1.12876379479196,0.00510275818568684,1.12876379479196,0.00510275818568684,region_1_labor_scarce,0.5
equal_endowments,0.064,1.1361157565622049,1.1308288076477877,0.0052869489144173,1.1308288076477877,0.0052869489144173,region_1_labor_scarce,0.5
equal_endowments,0.065,1.1383687176276394,1.1328936105276601,0.005475107099979254,1.1328936105276601,0.005475107099979254,region_1_labor_scarce,0.5
equal_endowments,0.066,1.1406254277345356,1.1349581568825209,0.005667270852014844,1.1349581568825209,0.005667270852014844,region_1_labor_scarce,0.5
equal_endowments,0.067,1.1428858782735107,1.1370223997545426,0.0058634785189682365,1.1370223997545426,0.0058634785189682365,region_1_labor_scarce,0.5
equal_endowments,0.068,1.1451500604639235,1.1390862917755498,0.006063768688373961,1.1390862917755498,0.006063768688373961,region_1_labor_scarce,0.5
equal_endowments,0.069,1.147417965352567,1.141149785165442,0.006268180187125019,1.141149785165442,0.006268180187125019,region_1_labor_scarce,0.5
equal_endowments,0.07,1.1496895838123709,1.1432128317306502,0.006476752081720647,1.1432128317306502,0.006476752081720647,region_1_labor_scarce,0.5
equal_endowments,0.071,1.151964906541087,1.1452753828625941,0.0066895236784930675,1.1452753828625941,0.0066895236784930675,region_1_labor_scarce,0.5
equal_endowments,0.072,1.1542439240599838,1.1473373895361707,0.006906534523813154,1.1473373895361707,0.006906534523813154,region_1_labor_scarce,0.5
equal_endowments,0.073,1.1565266267125267,1.1493988023082524,0.007127824404274353,1.1493988023082524,0.007127824404274353,region_1_labor_scarce,0.5
equal_endowments,0.074,1.1588130046630634,1.1514595713162088,0.007353433346854672,1.1514595713162088,0.007353433346854672,region_1_labor_scarce,0.5
equal_endowments,0.075,1.1611030478955007,1.1535196462764445,0.0075834016190562455,1.1535196462764445,0.0075834016190562455,region_1_labor_scarce,0.5
equal_endowments,0.076,1.16339674621198,1.155578976482958,0.007817769729022091,1.155578976482958,0.007817769729022091,region_1_labor_scarce,0.5
equal_endowments,0.077,1.165694089231551,1.1576375108059214,0.008056578425629728,1.1576375108059214,0.008056578425629728,region_1_labor_scarce,0.5
equal_endowments,0.078,1.1679950663888394,1.1596951976902783,0.008299868698561145,1.1596951976902783,0.008299868698561145,region_1_labor_scarce,0.5
equal_endowments,0.079,1.1702996669327146,1.1617519851543656,0.008547681778348836,1.1617519851543656,0.008547681778348836,region_1_labor_scarce,0.5
equal_endowments,0.08,1.172607879924953,1.1638078207885558,0.008800059136397398,1.1638078207885558,0.008800059136397398,region_1_labor_scarce,0.5
equal_endowments,0.081,1.1749196942388986,1.1658626517539183,0.009057042484980312,1.1658626517539183,0.009057042484980312,region_1_labor_scarce,0.5
equal_endowments,0.082,1.1772350985581226,1.167916424780911,0.009318673777211574,1.167916424780911,0.009318673777211574,region_1_labor_scarce,0.5
equal_endowments,0.083,1.1795540813750767,1.169969086168085,0.009584995206991574,1.169969086168085,0.009584995206991574,region_1_labor_scarce,0.5
equal_endowments,0.084,1.1818766309897508,1.172020581780824,0.00985604920892705,1.172020581780824,0.00985604920892705,region_1_labor_scarce,0.5
equal_endowments,0.085,1.184202735508319,1.1740708570500946,0.010131878458224412,1.1740708570500946,0.010131878458224412,region_1_labor_scarce,0.5
equal_endowments,0.086,1.1865323828417926,1.1761198569712363,0.010412525870556315,1.1761198569712363,0.010412525870556315,region_1_labor_scarce,0.5
equal_endowments,0.087,1.188865560704664,1.178167526102763,0.010698034601900757,1.178167526102763,0.010698034601900757,region_1_labor_scarce,0.5
equal_endowments,0.088,1.191202256613555,1.1802138085652025,0.01098844804835253,1.1802138085652025,0.01098844804835253,region_1_labor_scarce,0.5
equal_endowments,0.089,1.1935424578858544,1.1822586480399484,0.011283809845906332,1.1822586480399484,0.011283809845906332,region_1_labor_scarce,0.5
equal_endowments,0.09,1.1958861516383639,1.1843019877681524,0.011584163870211368,1.1843019877681524,0.011584163870211368,region_1_labor_scarce,0.5
equal_endowments,0.091,1.1982333247859356,1.1863437705496387,0.011889554236296802,1.1863437705496387,0.011889554236296802,region_1_labor_scarce,0.5
equal_endowments,0.092,1.200583964040109,1.1883839387418413,0.012200025298267655,1.1883839387418413,0.012200025298267655,region_1_labor_scarce,0.5
equal_endowments,0.093,1.202938055907749,1.1904224342587781,0.01251562164897079,1.1904224342587781,0.01251562164897079,region_1_labor_scarce,0.5
equal_endowments,0.094,1.2052955866896797,1.1924591985700492,0.01283638811963042,1.1924591985700492,0.01283638811963042,region_1_labor_scarce,0.5
equal_endowments,0.095,1.2076565424793189,1.1944941726998661,0.013162369779452752,1.1944941726998661,0.013162369779452752,region_1_labor_scarce,0.5
equal_endowments,0.096,1.2100209091613103,1.1965272972261112,0.01349361193519931,1.1965272972261112,0.01349361193519931,region_1_labor_scarce,0.5
equal_endowments,0.097,1.2123886724101558,1.1985585122794273,0.01383016013072842,1.1985585122794273,0.01383016013072842,region_1_labor_scarce,0.5
equal_endowments,0.098,1.2147598176888466,1.200587757542342,0.014172060146504508,1.200587757542342,0.014172060146504508,region_1_labor_scarce,0.5
equal_endowments,0.099,1.2171343302474922,1.2026149722484176,0.014519357999074578,1.2026149722484176,0.014519357999074578,region_1_labor_scarce,0.5
